string,case,gender,number,value,order,num_class,scale
нуль,nominative,,singular,0,,quantitative,FALSE
нулі,nominative,,plural,0,,quantitative,FALSE
нуля,genetive,,singular,0,,quantitative,FALSE
нулів,genetive,,plural,0,,quantitative,FALSE
нулю нулеві,dative,,singular,0,,quantitative,FALSE
нулям,dative,,plural,0,,quantitative,0
нуль,accusative,,singular,0,,quantitative,0
нулі,accusative,,plural,0,,quantitative,0
нулем,instrumental,,singular,0,,quantitative,0
нулями,instrumental,,plural,0,,quantitative,0
нулі нулю,prepositional,,singular,0,,quantitative,0
нулях,prepositional,,plural,0,,quantitative,0
нульовий,nominative,masculine,singular,0,,ordinal,0
нульова,nominative,feminine,singular,0,,ordinal,0
нульове,nominative,neuter,singular,0,,ordinal,0
нульові,nominative,,plural,0,,ordinal,0
нульового,genetive,masculine,singular,0,,ordinal,0
нульової,genetive,feminine,singular,0,,ordinal,0
нульового,genetive,neuter,singular,0,,ordinal,0
нульових,genetive,,plural,0,,ordinal,0
нульовому,dative,masculine,singular,0,,ordinal,0
нульовій,dative,feminine,singular,0,,ordinal,
нульовому,dative,neuter,singular,0,,ordinal,
нульовим,dative,,plural,0,,ordinal,
нульовий нульового,accusative,masculine,singular,0,,ordinal,
нульову,accusative,feminine,singular,0,,ordinal,
нульове,accusative,neuter,singular,0,,ordinal,
нульові нульових,accusative,,plural,0,,ordinal,
нульовим,instrumental,masculine,singular,0,,ordinal,
нульовою,instrumental,feminine,singular,0,,ordinal,
нульовим,instrumental,neuter,singular,0,,ordinal,
нульовими,instrumental,,plural,0,,ordinal,
нульовому нульовім,prepositional,masculine,singular,0,,ordinal,
нульовій,prepositional,feminine,singular,0,,ordinal,
нульовому нульовім,prepositional,neuter,singular,0,,ordinal,
нульових,prepositional,,plural,0,,ordinal,
один,nominative,masculine,singular,1,0,quantitative,
одна,nominative,feminine,singular,1,0,quantitative,
одне одно,nominative,neuter,singular,1,0,quantitative,
одні,nominative,,plural,1,0,quantitative,
одного,genetive,masculine,singular,1,0,quantitative,
однієї одної,genetive,feminine,singular,1,0,quantitative,
одного,genetive,neuter,singular,1,0,quantitative,
одних,genetive,,plural,1,0,quantitative,
одному,dative,masculine,singular,1,0,quantitative,
одній,dative,feminine,singular,1,0,quantitative,
одному,dative,neuter,singular,1,0,quantitative,
одним,dative,,plural,1,0,quantitative,
один одного,accusative,masculine,singular,1,0,quantitative,
одну,accusative,feminine,singular,1,0,quantitative,
одне,accusative,neuter,singular,1,0,quantitative,
одні одних,accusative,,plural,1,0,quantitative,
одним,instrumental,masculine,singular,1,0,quantitative,
однією одною,instrumental,feminine,singular,1,0,quantitative,
одним,instrumental,neuter,singular,1,0,quantitative,
одними,instrumental,,plural,1,0,quantitative,
одному однім,prepositional,masculine,singular,1,0,quantitative,
одній,prepositional,feminine,singular,1,0,quantitative,
одному однім,prepositional,neuter,singular,1,0,quantitative,
одних,prepositional,,plural,1,0,quantitative,
перший,nominative,masculine,singular,1,0,ordinal,
перша,nominative,feminine,singular,1,0,ordinal,
перше,nominative,neuter,singular,1,0,ordinal,
перші,nominative,,plural,1,0,ordinal,
першого,genetive,masculine,singular,1,0,ordinal,
першої,genetive,feminine,singular,1,0,ordinal,
першого,genetive,neuter,singular,1,0,ordinal,
перших,genetive,,plural,1,0,ordinal,
першому,dative,masculine,singular,1,0,ordinal,
першій,dative,feminine,singular,1,0,ordinal,
першому,dative,neuter,singular,1,0,ordinal,
першим,dative,,plural,1,0,ordinal,
перший першого,accusative,masculine,singular,1,0,ordinal,
першу,accusative,feminine,singular,1,0,ordinal,
перше,accusative,neuter,singular,1,0,ordinal,
перші перших,accusative,,plural,1,0,ordinal,
першим,instrumental,masculine,singular,1,0,ordinal,
першою,instrumental,feminine,singular,1,0,ordinal,
першим,instrumental,neuter,singular,1,0,ordinal,
першими,instrumental,,plural,1,0,ordinal,
першому першім,prepositional,masculine,singular,1,0,ordinal,
першій,prepositional,feminine,singular,1,0,ordinal,
першому першім,prepositional,neuter,singular,1,0,ordinal,
перших,prepositional,,plural,1,0,ordinal,
два,nominative,masculine,plural,2,0,quantitative,
двоє,nominative,,plural,2,0,collective,
дві,nominative,feminine,plural,2,0,quantitative,
два,nominative,neuter,plural,2,0,quantitative,
двох,genetive,,plural,2,0,quantitative,
двом,dative,,plural,2,0,quantitative,
два двох,accusative,,plural,2,0,quantitative,
два двох,accusative,masculine,plural,2,0,quantitative,
дві двох,accusative,feminine,plural,2,0,quantitative,
два двох,accusative,neuter,plural,2,0,quantitative,
двома,instrumental,,plural,2,0,quantitative,
двох,prepositional,,plural,2,0,quantitative,
другий,nominative,masculine,singular,2,0,ordinal,
друга,nominative,feminine,singular,2,0,ordinal,
друге,nominative,neuter,singular,2,0,ordinal,
другі,nominative,,plural,2,0,ordinal,
другого,genetive,masculine,singular,2,0,ordinal,
другої,genetive,feminine,singular,2,0,ordinal,
другого,genetive,neuter,singular,2,0,ordinal,
других,genetive,,plural,2,0,ordinal,
другому,dative,masculine,singular,2,0,ordinal,
другій,dative,feminine,singular,2,0,ordinal,
другому,dative,neuter,singular,2,0,ordinal,
другим,dative,,plural,2,0,ordinal,
другий другого,accusative,masculine,singular,2,0,ordinal,
другу,accusative,feminine,singular,2,0,ordinal,
друге,accusative,neuter,singular,2,0,ordinal,
другі других,accusative,,plural,2,0,ordinal,
другим,instrumental,masculine,singular,2,0,ordinal,
другою,instrumental,feminine,singular,2,0,ordinal,
другим,instrumental,neuter,singular,2,0,ordinal,
другими,instrumental,,plural,2,0,ordinal,
другому другім,prepositional,masculine,singular,2,0,ordinal,
другій,prepositional,feminine,singular,2,0,ordinal,
другому другім,prepositional,neuter,singular,2,0,ordinal,
других,prepositional,,plural,2,0,ordinal,
двох,genetive,masculine,,2,0,quantitative,
двох,genetive,feminine,,2,0,quantitative,
двом,dative,masculine,,2,0,quantitative,
двом,dative,feminine,,2,0,quantitative,
двома,instrumental,masculine,,2,0,quantitative,
двома,instrumental,feminine,,2,0,quantitative,
двох,prepositional,masculine,,2,0,quantitative,
двох,prepositional,feminine,,2,0,quantitative,
двох,genetive,neuter,,2,0,quantitative,
двом,dative,neuter,,2,0,quantitative,
двома,instrumental,neuter,,2,0,quantitative,
двох,prepositional,neuter,,2,0,quantitative,
три,nominative,,plural,3,0,quantitative,
троє,nominative,,plural,3,0,collective,
трьох,genetive,,plural,3,0,quantitative,
трьом,dative,,plural,3,0,quantitative,
три трьох,accusative,,plural,3,0,quantitative,
троє трьох,accusative,,plural,3,0,collective,
трьома,instrumental,,plural,3,0,quantitative,
трьох,prepositional,,plural,3,0,quantitative,
третій,nominative,masculine,singular,3,0,ordinal,
третя,nominative,feminine,singular,3,0,ordinal,
третє,nominative,neuter,singular,3,0,ordinal,
треті,nominative,,plural,3,0,ordinal,
третього,genetive,masculine,singular,3,0,ordinal,
третьої,genetive,feminine,singular,3,0,ordinal,
третього,genetive,neuter,singular,3,0,ordinal,
третіх,genetive,,plural,3,0,ordinal,
третьому,dative,masculine,singular,3,0,ordinal,
третій,dative,feminine,singular,3,0,ordinal,
третьому,dative,neuter,singular,3,0,ordinal,
третім,dative,,plural,3,0,ordinal,
третій третього,accusative,masculine,singular,3,0,ordinal,
третю,accusative,feminine,singular,3,0,ordinal,
третє,accusative,neuter,singular,3,0,ordinal,
треті третіх,accusative,,plural,3,0,ordinal,
третім,instrumental,masculine,singular,3,0,ordinal,
третьою,instrumental,feminine,singular,3,0,ordinal,
третім,instrumental,neuter,singular,3,0,ordinal,
третіми,instrumental,,plural,3,0,ordinal,
третьому третім,prepositional,masculine,singular,3,0,ordinal,
третій,prepositional,feminine,singular,3,0,ordinal,
третьому третім,prepositional,neuter,singular,3,0,ordinal,
третіх,prepositional,,plural,3,0,ordinal,
чотири,nominative,,plural,4,0,quantitative,
четверо,nominative,,plural,4,0,collective,
чотирьох,genetive,,plural,4,0,quantitative,
чотирьом,dative,,plural,4,0,quantitative,
чотири чотирьох,accusative,,plural,4,0,quantitative,
чотирма,instrumental,,plural,4,0,quantitative,
чотирьох,prepositional,,plural,4,0,quantitative,
четвертий,nominative,masculine,singular,4,0,ordinal,
четверта,nominative,feminine,singular,4,0,ordinal,
четверте,nominative,neuter,singular,4,0,ordinal,
четверті,nominative,,plural,4,0,ordinal,
четвертого,genetive,masculine,singular,4,0,ordinal,
четвертої,genetive,feminine,singular,4,0,ordinal,
четвертого,genetive,neuter,singular,4,0,ordinal,
четвертих,genetive,,plural,4,0,ordinal,
четвертому,dative,masculine,singular,4,0,ordinal,
четвертій,dative,feminine,singular,4,0,ordinal,
четвертому,dative,neuter,singular,4,0,ordinal,
четвертим,dative,,plural,4,0,ordinal,
четвертий четвертого,accusative,masculine,singular,4,0,ordinal,
четверту,accusative,feminine,singular,4,0,ordinal,
четверте,accusative,neuter,singular,4,0,ordinal,
четверті четвертих,accusative,,plural,4,0,ordinal,
четвертим,instrumental,masculine,singular,4,0,ordinal,
четвертою,instrumental,feminine,singular,4,0,ordinal,
четвертим,instrumental,neuter,singular,4,0,ordinal,
четвертими,instrumental,,plural,4,0,ordinal,
четвертому четвертім,prepositional,masculine,singular,4,0,ordinal,
четвертій,prepositional,feminine,singular,4,0,ordinal,
четвертому четвертім,prepositional,neuter,singular,4,0,ordinal,
четвертих,prepositional,,plural,4,0,ordinal,
п’ять,nominative,,plural,5,0,quantitative,
п’ятеро,nominative,,plural,5,0,collective,
п’яти п’ятьох,genetive,,plural,5,0,quantitative,
п’яти п’ятьом,dative,,plural,5,0,quantitative,
п’ять п’ятьох,accusative,,plural,5,0,quantitative,
п’ятьма п’ятьома,instrumental,,plural,5,0,quantitative,
п’яти п’ятьох,prepositional,,plural,5,0,quantitative,
п’ятий,nominative,masculine,singular,5,0,ordinal,
п’ята,nominative,feminine,singular,5,0,ordinal,
п’яте,nominative,neuter,singular,5,0,ordinal,
п’яті,nominative,,plural,5,0,ordinal,
п’ятого,genetive,masculine,singular,5,0,ordinal,
п’ятої,genetive,feminine,singular,5,0,ordinal,
п’ятого,genetive,neuter,singular,5,0,ordinal,
п’ятих,genetive,,plural,5,0,ordinal,
п’ятому,dative,masculine,singular,5,0,ordinal,
п’ятій,dative,feminine,singular,5,0,ordinal,
п’ятому,dative,neuter,singular,5,0,ordinal,
п’ятим,dative,,plural,5,0,ordinal,
п’ятий п’ятого,accusative,masculine,singular,5,0,ordinal,
п’яту,accusative,feminine,singular,5,0,ordinal,
п’яте,accusative,neuter,singular,5,0,ordinal,
п’яті п’ятих,accusative,,plural,5,0,ordinal,
п’ятим,instrumental,masculine,singular,5,0,ordinal,
п’ятою,instrumental,feminine,singular,5,0,ordinal,
п’ятим,instrumental,neuter,singular,5,0,ordinal,
п’ятими,instrumental,,plural,5,0,ordinal,
п’ятому п’ятім,prepositional,masculine,singular,5,0,ordinal,
п’ятій,prepositional,feminine,singular,5,0,ordinal,
п’ятому п’ятім,prepositional,neuter,singular,5,0,ordinal,
п’ятих,prepositional,,plural,5,0,ordinal,
шість,nominative,,plural,6,0,quantitative,
шестеро,nominative,,plural,6,0,collective,
шести шістьох,genetive,,plural,6,0,quantitative,
шести шістьом,dative,,plural,6,0,quantitative,
шість шістьох,accusative,,plural,6,0,quantitative,
шістьма шістьома,instrumental,,plural,6,0,quantitative,
шести шістьох,prepositional,,plural,6,0,quantitative,
шостий,nominative,masculine,singular,6,0,ordinal,
шоста,nominative,feminine,singular,6,0,ordinal,
шосте,nominative,neuter,singular,6,0,ordinal,
шості,nominative,,plural,6,0,ordinal,
шостого,genetive,masculine,singular,6,0,ordinal,
шостої,genetive,feminine,singular,6,0,ordinal,
шостого,genetive,neuter,singular,6,0,ordinal,
шостих,genetive,,plural,6,0,ordinal,
шостому,dative,masculine,singular,6,0,ordinal,
шостій,dative,feminine,singular,6,0,ordinal,
шостому,dative,neuter,singular,6,0,ordinal,
шостим,dative,,plural,6,0,ordinal,
шостий шостого,accusative,masculine,singular,6,0,ordinal,
шосту,accusative,feminine,singular,6,0,ordinal,
шосте,accusative,neuter,singular,6,0,ordinal,
шості шостих,accusative,,plural,6,0,ordinal,
шостим,instrumental,masculine,singular,6,0,ordinal,
шостою,instrumental,feminine,singular,6,0,ordinal,
шостим,instrumental,neuter,singular,6,0,ordinal,
шостими,instrumental,,plural,6,0,ordinal,
шостому шостім,prepositional,masculine,singular,6,0,ordinal,
шостій,prepositional,feminine,singular,6,0,ordinal,
шостому шостім,prepositional,neuter,singular,6,0,ordinal,
шостих,prepositional,,plural,6,0,ordinal,
сім,nominative,,plural,7,0,quantitative,
семеро,nominative,,plural,7,0,collective,
семи сімох,genetive,,plural,7,0,quantitative,
семи сімом,dative,,plural,7,0,quantitative,
сім сімох,accusative,,plural,7,0,quantitative,
сімома сьома,instrumental,,plural,7,0,quantitative,
семи сімох,prepositional,,plural,7,0,quantitative,
сьомий,nominative,masculine,singular,7,0,ordinal,
сьома,nominative,feminine,singular,7,0,ordinal,
сьоме,nominative,neuter,singular,7,0,ordinal,
сьомі,nominative,,plural,7,0,ordinal,
сьомого,genetive,masculine,singular,7,0,ordinal,
сьомої,genetive,feminine,singular,7,0,ordinal,
сьомого,genetive,neuter,singular,7,0,ordinal,
сьомих,genetive,,plural,7,0,ordinal,
сьомому,dative,masculine,singular,7,0,ordinal,
сьомій,dative,feminine,singular,7,0,ordinal,
сьомому,dative,neuter,singular,7,0,ordinal,
сьомим,dative,,plural,7,0,ordinal,
сьомий сьомого,accusative,masculine,singular,7,0,ordinal,
сьому,accusative,feminine,singular,7,0,ordinal,
сьоме,accusative,neuter,singular,7,0,ordinal,
сьомі сьомих,accusative,,plural,7,0,ordinal,
сьомим,instrumental,masculine,singular,7,0,ordinal,
сьомою,instrumental,feminine,singular,7,0,ordinal,
сьомим,instrumental,neuter,singular,7,0,ordinal,
сьомими,instrumental,,plural,7,0,ordinal,
сьомому сьомім,prepositional,masculine,singular,7,0,ordinal,
сьомій,prepositional,feminine,singular,7,0,ordinal,
сьомому сьомім,prepositional,neuter,singular,7,0,ordinal,
сьомих,prepositional,,plural,7,0,ordinal,
вісім,nominative,,plural,8,0,quantitative,
восьмеро,nominative,,plural,8,0,collective,
восьми вісьмох,genetive,,plural,8,0,quantitative,
восьми вісьмом,dative,,plural,8,0,quantitative,
вісім вісьмох,accusative,,plural,8,0,quantitative,
вісьма вісьмома,instrumental,,plural,8,0,quantitative,
восьми вісьмох,prepositional,,plural,8,0,quantitative,
восьмий,nominative,masculine,singular,8,0,ordinal,
восьма,nominative,feminine,singular,8,0,ordinal,
восьме,nominative,neuter,singular,8,0,ordinal,
восьмі,nominative,,plural,8,0,ordinal,
восьмого,genetive,masculine,singular,8,0,ordinal,
восьмої,genetive,feminine,singular,8,0,ordinal,
восьмого,genetive,neuter,singular,8,0,ordinal,
восьмих,genetive,,plural,8,0,ordinal,
восьмому,dative,masculine,singular,8,0,ordinal,
восьмій,dative,feminine,singular,8,0,ordinal,
восьмому,dative,neuter,singular,8,0,ordinal,
восьмим,dative,,plural,8,0,ordinal,
восьмий восьмого,accusative,masculine,singular,8,0,ordinal,
восьму,accusative,feminine,singular,8,0,ordinal,
восьме,accusative,neuter,singular,8,0,ordinal,
восьмі восьмих,accusative,,plural,8,0,ordinal,
восьмим,instrumental,masculine,singular,8,0,ordinal,
восьмою,instrumental,feminine,singular,8,0,ordinal,
восьмим,instrumental,neuter,singular,8,0,ordinal,
восьмими,instrumental,,plural,8,0,ordinal,
восьмому восьмім,prepositional,masculine,singular,8,0,ordinal,
восьмій,prepositional,feminine,singular,8,0,ordinal,
восьмому восьмім,prepositional,neuter,singular,8,0,ordinal,
восьмих,prepositional,,plural,8,0,ordinal,
дев’ять,nominative,,plural,9,0,quantitative,
дев’ятеро,nominative,,plural,9,0,collective,
дев’яти дев’ятьох,genetive,,plural,9,0,quantitative,
дев’яти дев’ятьом,dative,,plural,9,0,quantitative,
дев’ять дев’ятьох,accusative,,plural,9,0,quantitative,
дев’ятьма дев’ятьома,instrumental,,plural,9,0,quantitative,
дев’яти дев’ятьох,prepositional,,plural,9,0,quantitative,
дев’ятий,nominative,masculine,singular,9,0,ordinal,
дев’ята,nominative,feminine,singular,9,0,ordinal,
дев’яте,nominative,neuter,singular,9,0,ordinal,
дев’яті,nominative,,plural,9,0,ordinal,
дев’ятого,genetive,masculine,singular,9,0,ordinal,
дев’ятої,genetive,feminine,singular,9,0,ordinal,
дев’ятого,genetive,neuter,singular,9,0,ordinal,
дев’ятих,genetive,,plural,9,0,ordinal,
дев’ятому,dative,masculine,singular,9,0,ordinal,
дев’ятій,dative,feminine,singular,9,0,ordinal,
дев’ятому,dative,neuter,singular,9,0,ordinal,
дев’ятим,dative,,plural,9,0,ordinal,
дев’ятий дев’ятого,accusative,masculine,singular,9,0,ordinal,
дев’яту,accusative,feminine,singular,9,0,ordinal,
дев’яте,accusative,neuter,singular,9,0,ordinal,
дев’яті дев’ятих,accusative,,plural,9,0,ordinal,
дев’ятим,instrumental,masculine,singular,9,0,ordinal,
дев’ятою,instrumental,feminine,singular,9,0,ordinal,
дев’ятим,instrumental,neuter,singular,9,0,ordinal,
дев’ятими,instrumental,,plural,9,0,ordinal,
дев’ятому дев’ятім,prepositional,masculine,singular,9,0,ordinal,
дев’ятій,prepositional,feminine,singular,9,0,ordinal,
дев’ятому дев’ятім,prepositional,neuter,singular,9,0,ordinal,
дев’ятих,prepositional,,plural,9,0,ordinal,
десять,nominative,,plural,10,1,quantitative,
десятеро,nominative,,plural,10,1,collective,
десяти десятьох,genetive,,plural,10,1,quantitative,
десяти десятьом,dative,,plural,10,1,quantitative,
десять десятьох,accusative,,plural,10,1,quantitative,
десятьма десятьома,instrumental,,plural,10,1,quantitative,
десяти десятьох,prepositional,,plural,10,1,quantitative,
десятий,nominative,masculine,singular,10,1,ordinal,
десята,nominative,feminine,singular,10,1,ordinal,
десяте,nominative,neuter,singular,10,1,ordinal,
десяті,nominative,,plural,10,1,ordinal,
десятого,genetive,masculine,singular,10,1,ordinal,
десятої,genetive,feminine,singular,10,1,ordinal,
десятого,genetive,neuter,singular,10,1,ordinal,
десятих,genetive,,plural,10,1,ordinal,
десятому,dative,masculine,singular,10,1,ordinal,
десятій,dative,feminine,singular,10,1,ordinal,
десятому,dative,neuter,singular,10,1,ordinal,
десятим,dative,,plural,10,1,ordinal,
десятий десятого,accusative,masculine,singular,10,1,ordinal,
десяту,accusative,feminine,singular,10,1,ordinal,
десяте,accusative,neuter,singular,10,1,ordinal,
десяті десятих,accusative,,plural,10,1,ordinal,
десятим,instrumental,masculine,singular,10,1,ordinal,
десятою,instrumental,feminine,singular,10,1,ordinal,
десятим,instrumental,neuter,singular,10,1,ordinal,
десятими,instrumental,,plural,10,1,ordinal,
десятому десятім,prepositional,masculine,singular,10,1,ordinal,
десятій,prepositional,feminine,singular,10,1,ordinal,
десятому десятім,prepositional,neuter,singular,10,1,ordinal,
десятих,prepositional,,plural,10,1,ordinal,
десяток,nominative,,singular,10,1,collective,TRUE
десятки,nominative,,plural,10,1,collective,TRUE
десятка,genetive,,singular,10,1,collective,TRUE
десятків,genetive,,plural,10,1,collective,TRUE
десяткові десятку,dative,,singular,10,1,collective,TRUE
десяткам,dative,,plural,10,1,collective,TRUE
десяток,accusative,,singular,10,1,collective,TRUE
десятки,accusative,,plural,10,1,collective,TRUE
десятком,instrumental,,singular,10,1,collective,TRUE
десятками,instrumental,,plural,10,1,collective,TRUE
десятку,prepositional,,singular,10,1,collective,TRUE
десятках,prepositional,,plural,10,1,collective,TRUE
одинадцять,nominative,,plural,11,1,quantitative,
одинадцятеро,nominative,,plural,11,1,collective,
одинадцяти одинадцятьох,genetive,,plural,11,1,quantitative,
одинадцяти одинадцятьом,dative,,plural,11,1,quantitative,
одинадцять одинадцятьох,accusative,,plural,11,1,quantitative,
одинадцятьма одинадцятьома,instrumental,,plural,11,1,quantitative,
одинадцяти одинадцятьох,prepositional,,plural,11,1,quantitative,
одинадцятий,nominative,masculine,singular,11,1,ordinal,
одинадцята,nominative,feminine,singular,11,1,ordinal,
одинадцяте,nominative,neuter,singular,11,1,ordinal,
одинадцяті,nominative,,plural,11,1,ordinal,
одинадцятого,genetive,masculine,singular,11,1,ordinal,
одинадцятої,genetive,feminine,singular,11,1,ordinal,
одинадцятого,genetive,neuter,singular,11,1,ordinal,
одинадцятих,genetive,,plural,11,1,ordinal,
одинадцятому,dative,masculine,singular,11,1,ordinal,
одинадцятій,dative,feminine,singular,11,1,ordinal,
одинадцятому,dative,neuter,singular,11,1,ordinal,
одинадцятим,dative,,plural,11,1,ordinal,
одинадцятий одинадцятого,accusative,masculine,singular,11,1,ordinal,
одинадцяту,accusative,feminine,singular,11,1,ordinal,
одинадцяте,accusative,neuter,singular,11,1,ordinal,
одинадцяті одинадцятих,accusative,,plural,11,1,ordinal,
одинадцятим,instrumental,masculine,singular,11,1,ordinal,
одинадцятою,instrumental,feminine,singular,11,1,ordinal,
одинадцятим,instrumental,neuter,singular,11,1,ordinal,
одинадцятими,instrumental,,plural,11,1,ordinal,
одинадцятому одинадцятім,prepositional,masculine,singular,11,1,ordinal,
одинадцятій,prepositional,feminine,singular,11,1,ordinal,
одинадцятому одинадцятім,prepositional,neuter,singular,11,1,ordinal,
одинадцятих,prepositional,,plural,11,1,ordinal,
дванадцять,nominative,,plural,12,1,quantitative,
дванадцятеро,nominative,,plural,12,1,collective,
дванадцяти дванадцятьох,genetive,,plural,12,1,quantitative,
дванадцяти дванадцятьом,dative,,plural,12,1,quantitative,
дванадцять дванадцятьох,accusative,,plural,12,1,quantitative,
дванадцятьма дванадцятьома,instrumental,,plural,12,1,quantitative,
дванадцяти дванадцятьох,prepositional,,plural,12,1,quantitative,
дванадцятий,nominative,masculine,singular,12,1,ordinal,
дванадцята,nominative,feminine,singular,12,1,ordinal,
дванадцяте,nominative,neuter,singular,12,1,ordinal,
дванадцяті,nominative,,plural,12,1,ordinal,
дванадцятого,genetive,masculine,singular,12,1,ordinal,
дванадцятої,genetive,feminine,singular,12,1,ordinal,
дванадцятого,genetive,neuter,singular,12,1,ordinal,
дванадцятих,genetive,,plural,12,1,ordinal,
дванадцятому,dative,masculine,singular,12,1,ordinal,
дванадцятій,dative,feminine,singular,12,1,ordinal,
дванадцятому,dative,neuter,singular,12,1,ordinal,
дванадцятим,dative,,plural,12,1,ordinal,
дванадцятий дванадцятого,accusative,masculine,singular,12,1,ordinal,
дванадцяту,accusative,feminine,singular,12,1,ordinal,
дванадцяте,accusative,neuter,singular,12,1,ordinal,
дванадцяті дванадцятих,accusative,,plural,12,1,ordinal,
дванадцятим,instrumental,masculine,singular,12,1,ordinal,
дванадцятою,instrumental,feminine,singular,12,1,ordinal,
дванадцятим,instrumental,neuter,singular,12,1,ordinal,
дванадцятими,instrumental,,plural,12,1,ordinal,
дванадцятому дванадцятім,prepositional,masculine,singular,12,1,ordinal,
дванадцятій,prepositional,feminine,singular,12,1,ordinal,
дванадцятому дванадцятім,prepositional,neuter,singular,12,1,ordinal,
дванадцятих,prepositional,,plural,12,1,ordinal,
тринадцять,nominative,,plural,13,1,quantitative,
тринадцятеро,nominative,,plural,13,1,collective,
тринадцяти тринадцятьох,genetive,,plural,13,1,quantitative,
тринадцяти тринадцятьом,dative,,plural,13,1,quantitative,
тринадцять тринадцятьох,accusative,,plural,13,1,quantitative,
тринадцятьма тринадцятьома,instrumental,,plural,13,1,quantitative,
тринадцяти тринадцятьох,prepositional,,plural,13,1,quantitative,
тринадцятий,nominative,masculine,singular,13,1,ordinal,
тринадцята,nominative,feminine,singular,13,1,ordinal,
тринадцяте,nominative,neuter,singular,13,1,ordinal,
тринадцяті,nominative,,plural,13,1,ordinal,
тринадцятого,genetive,masculine,singular,13,1,ordinal,
тринадцятої,genetive,feminine,singular,13,1,ordinal,
тринадцятого,genetive,neuter,singular,13,1,ordinal,
тринадцятих,genetive,,plural,13,1,ordinal,
тринадцятому,dative,masculine,singular,13,1,ordinal,
тринадцятій,dative,feminine,singular,13,1,ordinal,
тринадцятому,dative,neuter,singular,13,1,ordinal,
тринадцятим,dative,,plural,13,1,ordinal,
тринадцятий тринадцятого,accusative,masculine,singular,13,1,ordinal,
тринадцяту,accusative,feminine,singular,13,1,ordinal,
тринадцяте,accusative,neuter,singular,13,1,ordinal,
тринадцяті тринадцятих,accusative,,plural,13,1,ordinal,
тринадцятим,instrumental,masculine,singular,13,1,ordinal,
тринадцятою,instrumental,feminine,singular,13,1,ordinal,
тринадцятим,instrumental,neuter,singular,13,1,ordinal,
тринадцятими,instrumental,,plural,13,1,ordinal,
